order_id,customer_name,category,sub_category,city,order_date,region,sale_price,discount,profit,year,month,original_price,discount_amount
OD95,Mathew,Snacks,Chocolates,Bodi,2016-01-31,Central,1285,0.28,218.45,2016,1,1784.7222222222224,499.7222222222224
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,2018-11-06,West,1230,0.13,442.8,2018,11,1413.7931034482758,183.79310344827582
OD97,Sudha,Food Grains,Atta & Flour,Ooty,2018-11-09,East,1856,0.21,723.84,2018,11,2349.3670886075947,493.3670886075947
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,2018-06-17,West,545,0.31,125.35,2018,6,789.8550724637681,244.85507246376812
OD99,Vince,Snacks,Chocolates,Dharmapuri,2017-09-06,Central,2301,0.28,391.17,2017,9,3195.8333333333335,894.8333333333335
OD100,Krithika,Oil & Masala,Spices,Chennai,2017-08-29,Central,1475,0.26,531.0,2017,8,1993.2432432432433,518.2432432432433
OD101,Adavan,Bakery,Cakes,Coimbatore,2017-08-29,Central,2118,0.35,910.74,2017,8,3258.4615384615386,1140.4615384615386
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,2017-08-29,Central,1527,0.17,671.88,2017,8,1839.7590361445784,312.75903614457843
OD103,Vinne,Snacks,Chocolates,Nagercoil,2017-12-01,Central,567,0.18,175.77,2017,12,691.4634146341463,124.46341463414626
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2016-11-13,West,969,0.27,184.11,2016,11,1327.3972602739727,358.39726027397273
OD105,Suresh,Food Grains,Dals & Pulses,Karur,2016-11-13,West,2300,0.14,1035.0,2016,11,2674.4186046511627,374.4186046511627
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,2016-11-13,West,1575,0.33,78.75,2016,11,2350.746268656717,775.7462686567169
OD107,Sundar,Beverages,Health Drinks,Cumbum,2018-11-23,South,540,0.12,108.0,2018,11,613.6363636363636,73.63636363636363
OD108,Willams,Snacks,Cookies,Tirunelveli,2018-11-23,South,536,0.34,176.88,2018,11,812.1212121212122,276.12121212121224
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,2018-11-23,South,556,0.21,155.68,2018,11,703.7974683544303,147.7974683544303
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,2016-10-15,Central,1179,0.16,271.17,2016,10,1403.5714285714287,224.57142857142867
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,2018-12-25,East,1487,0.12,505.58,2018,12,1689.7727272727273,202.77272727272725
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,2017-11-03,Central,2220,0.1,111.0,2017,11,2466.6666666666665,246.66666666666652
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,2017-11-03,Central,2155,0.3,581.85,2017,11,3078.571428571429,923.5714285714289
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,2015-08-25,East,1154,0.1,69.24,2015,8,1282.2222222222222,128.22222222222217
OD115,Muneer,Snacks,Noodles,Salem,2015-08-25,East,2420,0.11,242.0,2015,8,2719.1011235955057,299.10112359550567
OD116,Rumaiza,Snacks,Chocolates,Karur,2015-08-25,East,1305,0.24,287.1,2015,8,1717.1052631578948,412.1052631578948
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,2015-08-25,East,927,0.2,157.59,2015,8,1158.75,231.75
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,2016-03-02,West,983,0.11,186.77,2016,3,1104.4943820224719,121.49438202247188
OD119,Akash,Food Grains,Rice,Chennai,2016-04-05,South,903,0.1,90.3,2016,4,1003.3333333333333,100.33333333333326
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,2017-06-12,East,1235,0.12,74.1,2017,6,1403.409090909091,168.409090909091
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,2017-06-12,East,1243,0.24,174.02,2017,6,1635.5263157894738,392.52631578947376
OD122,Harish,Bakery,Cakes,Krishnagiri,2017-06-12,East,649,0.34,201.19,2017,6,983.3333333333335,334.3333333333335
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,2017-06-12,East,2354,0.11,188.32,2017,6,2644.9438202247193,290.9438202247193
OD124,Anu,Beverages,Soft Drinks,Cumbum,2017-06-12,East,1443,0.27,187.59,2017,6,1976.7123287671234,533.7123287671234
OD125,Sudeep,Bakery,Breads & Buns,Madurai,2015-12-26,Central,975,0.26,390.0,2015,12,1317.5675675675675,342.5675675675675
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,2015-09-20,Central,889,0.19,71.12,2015,9,1097.5308641975307,208.53086419753072
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,2018-11-05,West,2352,0.17,870.24,2018,11,2833.7349397590365,481.7349397590365
OD128,Harish,Oil & Masala,Spices,Tirunelveli,2018-11-05,West,1293,0.23,336.18,2018,11,1679.2207792207791,386.22077922077915
OD129,Sharon,Food Grains,Rice,Bodi,2017-11-06,West,1458,0.29,597.78,2017,11,2053.5211267605637,595.5211267605637
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,2017-11-06,West,1801,0.22,126.07,2017,11,2308.974358974359,507.9743589743589
OD131,Haseena,Snacks,Chocolates,Tenkasi,2018-02-02,East,1261,0.29,416.13,2018,2,1776.0563380281692,515.0563380281692
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,2018-02-02,East,2112,0.28,105.6,2018,2,2933.3333333333335,821.3333333333335
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,2018-02-02,East,640,0.24,140.8,2018,2,842.1052631578947,202.10526315789468
OD134,Shah,Bakery,Cakes,Tenkasi,2017-10-13,West,1658,0.12,315.02,2017,10,1884.090909090909,226.090909090909
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,2017-10-13,West,2373,0.18,664.44,2017,10,2893.90243902439,520.9024390243899
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,2017-10-13,West,1430,0.19,514.8,2017,10,1765.4320987654319,335.4320987654319
OD137,Sundar,Oil & Masala,Spices,Viluppuram,2017-10-13,West,1873,0.3,674.28,2017,10,2675.714285714286,802.7142857142858
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,2017-10-13,West,867,0.14,329.46,2017,10,1008.1395348837209,141.1395348837209
OD139,Malik,Snacks,Noodles,Theni,2017-10-13,West,1101,0.19,484.44,2017,10,1359.2592592592591,258.2592592592591
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,2017-10-13,West,1088,0.28,424.32,2017,10,1511.111111111111,423.1111111111111
OD141,Veena,Bakery,Biscuits,Perambalur,2017-09-05,East,866,0.32,381.04,2017,9,1273.529411764706,407.5294117647061
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,2018-09-18,West,2483,0.14,223.47,2018,9,2887.2093023255816,404.2093023255816
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,2018-09-18,West,1335,0.11,293.7,2018,9,1500.0,165.0
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,2018-09-18,West,765,0.24,252.45,2018,9,1006.578947368421,241.57894736842104
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,2018-12-22,Central,2403,0.2,624.78,2018,12,3003.75,600.75
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,2016-09-07,West,1551,0.13,573.87,2016,9,1782.7586206896551,231.75862068965512
OD147,Ridhesh,Food Grains,Organic Staples,Theni,2015-10-22,East,1564,0.27,187.68,2015,10,2142.4657534246576,578.4657534246576
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Tirunelveli,2017-12-05,Central,1125,0.33,292.5,2017,12,1679.1044776119404,554.1044776119404
OD149,Veronica,Beverages,Health Drinks,Tenkasi,2017-12-05,Central,768,0.1,184.32,2017,12,853.3333333333333,85.33333333333326
OD150,Ravi,"Eggs, Meat & Fish",Fish,Vellore,2017-12-05,Central,1985,0.26,734.45,2017,12,2682.4324324324325,697.4324324324325
OD151,Muneer,Food Grains,Rice,Bodi,2017-12-05,Central,2287,0.13,1029.15,2017,12,2628.735632183908,341.7356321839079
OD152,Jackson,Snacks,Chocolates,Pudukottai,2017-03-13,West,1016,0.34,335.28,2017,3,1539.3939393939395,523.3939393939395
OD153,Amy,Snacks,Cookies,Namakkal,2017-03-13,West,852,0.26,76.68,2017,3,1151.3513513513515,299.35135135135147
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,2016-05-31,West,1233,0.28,234.27,2016,5,1712.5,479.5
OD155,Jonas,Snacks,Noodles,Pudukottai,2016-05-31,West,2236,0.14,626.08,2016,5,2600.0,364.0
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Viluppuram,2016-05-31,West,2188,0.32,809.56,2016,5,3217.6470588235297,1029.6470588235297
OD157,Peer,Snacks,Cookies,Coimbatore,2016-05-28,West,1114,0.2,456.74,2016,5,1392.5,278.5
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Salem,2015-03-01,West,1774,0.15,620.9,2015,3,2087.0588235294117,313.0588235294117
OD159,Amy,Beverages,Soft Drinks,Karur,2017-11-20,Central,2364,0.21,1040.16,2017,11,2992.405063291139,628.405063291139
OD160,Amrish,Food Grains,Dals & Pulses,Madurai,2017-11-20,Central,1487,0.11,148.7,2017,11,1670.7865168539327,183.78651685393265
OD161,Yadav,Beverages,Soft Drinks,Ooty,2017-05-11,West,713,0.3,192.51,2017,5,1018.5714285714287,305.57142857142867
OD162,Vinne,"Eggs, Meat & Fish",Fish,Kanyakumari,2016-12-28,East,737,0.2,280.06,2016,12,921.25,184.25
OD163,Amrish,Snacks,Chocolates,Trichy,2017-11-16,West,1004,0.26,341.36,2017,11,1356.7567567567569,352.7567567567569
OD164,Hussain,Snacks,Cookies,Theni,2017-11-07,West,1516,0.32,121.28,2017,11,2229.4117647058824,713.4117647058824
OD165,Haseena,Food Grains,Atta & Flour,Ramanadhapuram,2015-09-08,Central,1442,0.28,605.64,2015,9,2002.7777777777778,560.7777777777778
OD166,Sudha,Beverages,Health Drinks,Madurai,2015-09-08,Central,1690,0.33,422.5,2015,9,2522.3880597014927,832.3880597014927
OD167,Adavan,Snacks,Chocolates,Bodi,2015-09-08,Central,2021,0.13,343.57,2015,9,2322.9885057471265,301.9885057471265
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Ooty,2015-09-08,Central,2340,0.25,491.4,2015,9,3120.0,780.0
OD169,Krithika,Oil & Masala,Spices,Viluppuram,2015-09-08,Central,705,0.15,176.25,2015,9,829.4117647058823,124.41176470588232
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Trichy,2015-09-08,Central,1215,0.2,60.75,2015,9,1518.75,303.75
OD171,Akash,Food Grains,Dals & Pulses,Krishnagiri,2015-09-08,Central,552,0.25,237.36,2015,9,736.0,184.0
OD172,Sabeela,Beverages,Health Drinks,Tirunelveli,2015-08-05,West,1412,0.11,564.8,2015,8,1586.5168539325844,174.51685393258435
OD173,Surya,Food Grains,Dals & Pulses,Tirunelveli,2015-08-05,West,791,0.32,150.29,2015,8,1163.235294117647,372.2352941176471
OD174,Alan,Fruits & Veggies,Organic Vegetables,Viluppuram,2015-08-05,West,2476,0.33,420.92,2015,8,3695.522388059702,1219.5223880597018
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Karur,2015-09-14,Central,1747,0.27,471.69,2015,9,2393.150684931507,646.1506849315069
OD176,Shah,Fruits & Veggies,Organic Fruits,Pudukottai,2015-09-14,Central,1973,0.15,848.39,2015,9,2321.176470588235,348.17647058823513
OD177,Mathew,Oil & Masala,Spices,Krishnagiri,2018-04-21,Central,2025,0.24,546.75,2018,4,2664.4736842105262,639.4736842105262
OD178,Rumaiza,Snacks,Noodles,Vellore,2016-11-21,East,1016,0.29,223.52,2016,11,1430.985915492958,414.98591549295793
OD179,Arvind,Fruits & Veggies,Organic Fruits,Trichy,2016-11-21,East,689,0.3,55.12,2016,11,984.2857142857143,295.28571428571433
OD180,Krithika,Food Grains,Atta & Flour,Karur,2016-12-15,East,1322,0.16,343.72,2016,12,1573.8095238095239,251.80952380952385
OD181,Arvind,Snacks,Cookies,Bodi,2015-12-05,Central,1605,0.25,433.35,2015,12,2140.0,535.0
OD182,Ravi,Beverages,Health Drinks,Namakkal,2015-12-05,Central,1718,0.2,171.8,2015,12,2147.5,429.5
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Madurai,2015-11-19,South,2177,0.35,783.72,2015,11,3349.230769230769,1172.230769230769
OD184,Surya,Food Grains,Organic Staples,Cumbum,2015-11-19,South,578,0.19,236.98,2015,11,713.5802469135803,135.58024691358025
OD185,Amrish,Food Grains,Dals & Pulses,Dindigul,2015-11-19,South,782,0.28,195.5,2015,11,1086.111111111111,304.1111111111111
OD186,Shah,Snacks,Noodles,Chennai,2017-11-28,East,1388,0.35,97.16,2017,11,2135.3846153846152,747.3846153846152
OD187,Krithika,Bakery,Cakes,Cumbum,2015-08-26,West,2264,0.21,792.4,2015,8,2865.8227848101264,601.8227848101264
OD188,Anu,Beverages,Soft Drinks,Pudukottai,2017-07-16,Central,813,0.16,138.21,2017,7,967.8571428571429,154.8571428571429
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Madurai,2017-07-16,Central,2015,0.24,564.2,2017,7,2651.315789473684,636.3157894736842
OD190,Rumaiza,Beverages,Soft Drinks,Vellore,2016-10-12,East,1433,0.3,472.89,2016,10,2047.1428571428573,614.1428571428573
OD191,Amrish,Fruits & Veggies,Organic Fruits,Chennai,2016-10-12,East,2093,0.11,334.88,2016,10,2351.6853932584268,258.68539325842676
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Chennai,2016-10-12,East,2149,0.17,623.21,2016,10,2589.156626506024,440.15662650602417
OD193,Anu,Beverages,Health Drinks,Dharmapuri,2016-10-12,East,1972,0.32,414.12,2016,10,2900.0000000000005,928.0000000000005
OD194,Suresh,Oil & Masala,Masalas,Dharmapuri,2016-10-12,East,2060,0.25,432.6,2016,10,2746.6666666666665,686.6666666666665
OD195,Peer,"Eggs, Meat & Fish",Eggs,Tirunelveli,2016-10-31,West,1175,0.12,340.75,2016,10,1335.2272727272727,160.22727272727275
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Theni,2015-03-21,East,1006,0.25,191.14,2015,3,1341.3333333333333,335.33333333333326
OD197,Sudeep,Bakery,Breads & Buns,Karur,2015-03-21,East,1409,0.16,380.43,2015,3,1677.3809523809525,268.3809523809525
